"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"245029_at",3.02169496658683,2.882701493254,2.90780599854429
"245030_at",2.74061176982725,2.81514263812533,2.76176896481175
"245031_at",7.12002378793371,7.43467072704052,7.35515016629419
"245032_at",3.29193315722925,3.28331406884251,3.35619244021243
"245033_at",4.13570433994472,4.13755331114125,4.42067725274646
"245034_at",4.89348251626288,5.15580255474089,5.09368675902074
"245035_at",8.69638743237565,9.85089420300963,10.0772112054973
"245036_at",3.09481090234024,3.13591933612339,3.15760271500566
"245037_at",3.28868746419941,3.28329728004634,3.29823209462219
"245038_at",4.99655273351257,4.31630142270316,4.60234037283776
